Provinsi,Komoditas,Bulan,Harga
Lampung,Bawang Merah,Desember,35430
Kepulauan Bangka Belitung,Bawang Merah,Desember,43680
Kepulauan Riau,Bawang Merah,Desember,43910
DKI Jakarta,Bawang Merah,Desember,44500
Jawa Barat,Bawang Merah,Desember,38500
Jawa Tengah,Bawang Merah,Desember,37500
D.I Yogyakarta,Bawang Merah,Desember,39890
Jawa Timur,Bawang Merah,Desember,37160
Banten,Bawang Merah,Desember,38580
Bali,Bawang Merah,Desember,37700
Nusa Tenggara Barat,Bawang Merah,Desember,35620
Nusa Tenggara Timur,Bawang Merah,Desember,31940
Kalimantan Barat,Bawang Merah,Desember,47570
Kalimantan Tengah,Bawang Merah,Desember,46070
Kalimantan Selatan,Bawang Merah,Desember,41510
Kalimantan Timur,Bawang Merah,Desember,44300
Kalimantan Utara,Bawang Merah,Desember,50370
Sulawesi Utara,Bawang Merah,Desember,47870
Sulawesi Tengah,Bawang Merah,Desember,49550
Sulawesi Selatan,Bawang Merah,Desember,41560
Sulawesi Tenggara,Bawang Merah,Desember,43470
Gorontalo,Bawang Merah,Desember,46220
Sulawesi Barat,Bawang Merah,Desember,43100
Maluku,Bawang Merah,Desember,46960
Maluku Utara,Bawang Merah,Desember,57060
Papua Barat,Bawang Merah,Desember,57770
Papua,Bawang Merah,Desember,59750
Papua Barat Daya,Bawang Merah,Desember,58070
Papua Pegunungan,Bawang Merah,Desember,67820
Papua Tengah,Bawang Merah,Desember,57590
Papua Selatan,Bawang Merah,Desember,50000
Aceh,Bawang Putih,Desember,42250
Sumatera Utara,Bawang Putih,Desember,41180
Sumatera Barat,Bawang Putih,Desember,40110
Riau,Bawang Putih,Desember,40450
Jambi,Bawang Putih,Desember,39730
Sumatera Selatan,Bawang Putih,Desember,41120
Bengkulu,Bawang Putih,Desember,42010
Lampung,Bawang Putih,Desember,39020
Kepulauan Bangka Belitung,Bawang Putih,Desember,41890
Kepulauan Riau,Bawang Putih,Desember,37490
DKI Jakarta,Bawang Putih,Desember,41990
Jawa Barat,Bawang Putih,Desember,40040
Jawa Tengah,Bawang Putih,Desember,38150
D.I Yogyakarta,Bawang Putih,Desember,37980
Jawa Timur,Bawang Putih,Desember,37750
Banten,Bawang Putih,Desember,39770
Bali,Bawang Putih,Desember,37790
Nusa Tenggara Barat,Bawang Putih,Desember,39040
Nusa Tenggara Timur,Bawang Putih,Desember,45450
Kalimantan Barat,Bawang Putih,Desember,44040
Kalimantan Tengah,Bawang Putih,Desember,44390
Kalimantan Selatan,Bawang Putih,Desember,40230
Kalimantan Timur,Bawang Putih,Desember,44130
Kalimantan Utara,Bawang Putih,Desember,44130
Sulawesi Utara,Bawang Putih,Desember,47510
Sulawesi Tengah,Bawang Putih,Desember,48090
Sulawesi Selatan,Bawang Putih,Desember,42020
Sulawesi Tenggara,Bawang Putih,Desember,46080
Gorontalo,Bawang Putih,Desember,46480
Sulawesi Barat,Bawang Putih,Desember,41530
Maluku,Bawang Putih,Desember,48770
Maluku Utara,Bawang Putih,Desember,57130
Papua Barat,Bawang Putih,Desember,57770
Papua,Bawang Putih,Desember,55230
Papua Barat Daya,Bawang Putih,Desember,54210
Papua Pegunungan,Bawang Putih,Desember,69280
Papua Tengah,Bawang Putih,Desember,53870
Papua Selatan,Bawang Putih,Desember,50000
Aceh,Cabai Merah,Desember,27240
Sumatera Utara,Cabai Merah,Desember,33120
Sumatera Barat,Cabai Merah,Desember,32030
Riau,Cabai Merah,Desember,38390
Jambi,Cabai Merah,Desember,28820
Sumatera Selatan,Cabai Merah,Desember,38180
Bengkulu,Cabai Merah,Desember,31200
Lampung,Cabai Merah,Desember,33370
Kepulauan Bangka Belitung,Cabai Merah,Desember,36790
Kepulauan Riau,Cabai Merah,Desember,45790
DKI Jakarta,Cabai Merah,Desember,46470
Jawa Barat,Cabai Merah,Desember,36550
Jawa Tengah,Cabai Merah,Desember,31380
D.I Yogyakarta,Cabai Merah,Desember,38300
Jawa Timur,Cabai Merah,Desember,27370
Banten,Cabai Merah,Desember,36230
Bali,Cabai Merah,Desember,28560
Nusa Tenggara Barat,Cabai Merah,Desember,30590
Nusa Tenggara Timur,Cabai Merah,Desember,42520
Kalimantan Barat,Cabai Merah,Desember,54400
Kalimantan Tengah,Cabai Merah,Desember,47360
Kalimantan Selatan,Cabai Merah,Desember,30260
Kalimantan Timur,Cabai Merah,Desember,40830
Kalimantan Utara,Cabai Merah,Desember,63140
Sulawesi Utara,Cabai Merah,Desember,35920
Sulawesi Tengah,Cabai Merah,Desember,30250
Sulawesi Selatan,Cabai Merah,Desember,22880
Sulawesi Tenggara,Cabai Merah,Desember,34310
Gorontalo,Cabai Merah,Desember,30100
Sulawesi Barat,Cabai Merah,Desember,27480
Maluku,Cabai Merah,Desember,39500
Maluku Utara,Cabai Merah,Desember,51600
Papua Barat,Cabai Merah,Desember,53130
Papua,Cabai Merah,Desember,51420
Papua Barat Daya,Cabai Merah,Desember,59480
Papua Pegunungan,Cabai Merah,Desember,84850
Papua Tengah,Cabai Merah,Desember,60360
Papua Selatan,Cabai Merah,Desember,40000
Sumatera Utara,Cabai Rawit,Desember,49480
Sumatera Barat,Cabai Rawit,Desember,43460
Riau,Cabai Rawit,Desember,45950
Jambi,Cabai Rawit,Desember,39340
Sumatera Selatan,Cabai Rawit,Desember,39290
Bengkulu,Cabai Rawit,Desember,41260
Lampung,Cabai Rawit,Desember,34690
Kepulauan Bangka Belitung,Cabai Rawit,Desember,37490
Kepulauan Riau,Cabai Rawit,Desember,53490
DKI Jakarta,Cabai Rawit,Desember,47510
Jawa Barat,Cabai Rawit,Desember,42980
Jawa Tengah,Cabai Rawit,Desember,35560
D.I Yogyakarta,Cabai Rawit,Desember,38140
Jawa Timur,Cabai Rawit,Desember,36130
Banten,Cabai Rawit,Desember,44030
Bali,Cabai Rawit,Desember,39340
Nusa Tenggara Barat,Cabai Rawit,Desember,27160
Nusa Tenggara Timur,Cabai Rawit,Desember,34690
Kalimantan Barat,Cabai Rawit,Desember,55050
Kalimantan Tengah,Cabai Rawit,Desember,52050
Kalimantan Selatan,Cabai Rawit,Desember,39570
Kalimantan Timur,Cabai Rawit,Desember,48070
Kalimantan Utara,Cabai Rawit,Desember,70910
Sulawesi Utara,Cabai Rawit,Desember,42480
Sulawesi Tengah,Cabai Rawit,Desember,49190
Sulawesi Selatan,Cabai Rawit,Desember,24610
Sulawesi Tenggara,Cabai Rawit,Desember,42000
Gorontalo,Cabai Rawit,Desember,38050
Sulawesi Barat,Cabai Rawit,Desember,36050
Maluku,Cabai Rawit,Desember,49130
Maluku Utara,Cabai Rawit,Desember,78050
Papua Barat,Cabai Rawit,Desember,68310
Papua,Cabai Rawit,Desember,82310
Papua Barat Daya,Cabai Rawit,Desember,71060
Papua Pegunungan,Cabai Rawit,Desember,87590
Papua Tengah,Cabai Rawit,Desember,75530
Papua Selatan,Cabai Rawit,Desember,60000
Aceh,Jagung,Desember,7000
Sumatera Utara,Jagung,Desember,5770
Sumatera Barat,Jagung,Desember,5600
Riau,Jagung,Desember,5770
Jambi,Jagung,Desember,10000
Sumatera Selatan,Jagung,Desember,6090
Lampung,Jagung,Desember,4920
Kepulauan Riau,Jagung,Desember,6970
Jawa Barat,Jagung,Desember,5710
Jawa Tengah,Jagung,Desember,5230
D.I Yogyakarta,Jagung,Desember,7420
Jawa Timur,Jagung,Desember,5580
Banten,Jagung,Desember,8300
Bali,Jagung,Desember,5550
Nusa Tenggara Barat,Jagung,Desember,4740
Nusa Tenggara Timur,Jagung,Desember,6520
Kalimantan Barat,Jagung,Desember,5700
Kalimantan Tengah,Jagung,Desember,8370
Kalimantan Selatan,Jagung,Desember,7590
Kalimantan Timur,Jagung,Desember,8010
Sulawesi Utara,Jagung,Desember,5590
Sulawesi Tengah,Jagung,Desember,6040
Sulawesi Selatan,Jagung,Desember,5210
Sulawesi Tenggara,Jagung,Desember,5450
Maluku,Jagung,Desember,8850
Maluku Utara,Jagung,Desember,9690
Papua Barat,Jagung,Desember,10130
Papua,Jagung,Desember,7630
Papua Barat Daya,Jagung,Desember,8270
Papua Tengah,Jagung,Desember,6800
Aceh,Beras SPHP,Desember,12940
Sumatera Utara,Beras SPHP,Desember,12580
Sumatera Barat,Beras SPHP,Desember,12880
Riau,Beras SPHP,Desember,13020
Jambi,Beras SPHP,Desember,12510
Sumatera Selatan,Beras SPHP,Desember,12410
Bengkulu,Beras SPHP,Desember,12430
Lampung,Beras SPHP,Desember,12270
Kepulauan Bangka Belitung,Beras SPHP,Desember,12630
Kepulauan Riau,Beras SPHP,Desember,12560
DKI Jakarta,Beras SPHP,Desember,11490
Jawa Barat,Beras SPHP,Desember,12390
Jawa Tengah,Beras SPHP,Desember,12190
D.I Yogyakarta,Beras SPHP,Desember,12280
Jawa Timur,Beras SPHP,Desember,11930
Banten,Beras SPHP,Desember,12500
Bali,Beras SPHP,Desember,12080
Nusa Tenggara Barat,Beras SPHP,Desember,12270
Nusa Tenggara Timur,Beras SPHP,Desember,12880
Kalimantan Barat,Beras SPHP,Desember,12990
Kalimantan Tengah,Beras SPHP,Desember,12790
Kalimantan Selatan,Beras SPHP,Desember,12830
Kalimantan Timur,Beras SPHP,Desember,12700
Kalimantan Utara,Beras SPHP,Desember,12920
Sulawesi Utara,Beras SPHP,Desember,12290
Sulawesi Tengah,Beras SPHP,Desember,12270
Sulawesi Selatan,Beras SPHP,Desember,12140
Sulawesi Tenggara,Beras SPHP,Desember,12190
Gorontalo,Beras SPHP,Desember,12500
Sulawesi Barat,Beras SPHP,Desember,11860
Maluku,Beras SPHP,Desember,13520
Maluku Utara,Beras SPHP,Desember,13470
Papua Barat,Beras SPHP,Desember,13250
Papua,Beras SPHP,Desember,13250
Papua Barat Daya,Beras SPHP,Desember,13290
Papua Tengah,Beras SPHP,Desember,13500
Papua Selatan,Beras SPHP,Desember,13500
